;Valores Reais;Valores Preditos;Residuo;Erro Quadratico
0;0.311828;0.112036;0.199792;0.039917
1;0.322581;0.314672;0.007909;6.3e-05
2;0.107527;-0.003908;0.111435;0.012418
3;0.021505;0.175903;-0.154398;0.023839
4;0.591398;0.515287;0.076111;0.005793
5;0.193548;0.174484;0.019064;0.000363
6;0.215054;0.203336;0.011718;0.000137
7;0.053763;0.154002;-0.100239;0.010048
8;0.096774;0.063306;0.033468;0.00112
9;0.11828;0.155439;-0.037159;0.001381
10;0.043011;0.053455;-0.010444;0.000109
11;0.053763;0.246847;-0.193084;0.037281
12;0.258065;0.400537;-0.142472;0.020298
13;0.096774;0.137687;-0.040913;0.001674
14;0.182796;0.138055;0.044741;0.002002
15;0.473118;0.418886;0.054232;0.002941
16;0.043011;-0.035267;0.078278;0.006127
17;0.075269;0.025849;0.04942;0.002442
18;0.129032;0.225739;-0.096707;0.009352
19;0.612903;0.711318;-0.098415;0.009685
20;0.430108;0.462322;-0.032214;0.001038
21;0.182796;0.358521;-0.175725;0.030879
22;0.139785;0.17586;-0.036075;0.001301
23;0.731183;0.465028;0.266155;0.070838
24;0.150538;0.200971;-0.050433;0.002543
25;0.096774;0.056964;0.03981;0.001585
26;0.096774;0.085034;0.01174;0.000138
27;0.096774;0.046112;0.050662;0.002567
28;0.086022;0.068995;0.017027;0.00029
29;0.182796;0.300389;-0.117593;0.013828
30;0.44086;0.499698;-0.058838;0.003462
31;0.129032;0.193478;-0.064446;0.004153
32;0.182796;0.16168;0.021116;0.000446
33;0.16129;0.17134;-0.01005;0.000101
34;0.075269;0.223065;-0.147796;0.021844
35;0.215054;0.413506;-0.198452;0.039383
36;0.483871;0.516627;-0.032756;0.001073
37;0.354839;0.417254;-0.062415;0.003896
38;0.44086;0.511786;-0.070926;0.00503
39;0.784946;0.544898;0.240048;0.057623
40;0.021505;0.106367;-0.084862;0.007202
41;0.11828;0.067373;0.050907;0.002592
42;0.021505;0.039413;-0.017908;0.000321
43;0.580645;0.459597;0.121048;0.014653
44;0.258065;0.315972;-0.057907;0.003353
45;0.419355;0.28106;0.138295;0.019125
46;0.376344;0.436716;-0.060372;0.003645
47;0.709677;0.660722;0.048955;0.002397
48;0.784946;0.554566;0.23038;0.053075
49;0.11828;0.094719;0.023561;0.000555
50;0.548387;0.328063;0.220324;0.048542
51;1.0;0.676922;0.323078;0.10438
52;0.032258;0.068281;-0.036023;0.001298
53;0.043011;0.156581;-0.11357;0.012898
54;0.139785;0.101937;0.037848;0.001432
55;0.064516;0.031679;0.032837;0.001078
56;0.290323;0.456049;-0.165726;0.027465
57;0.516129;0.586821;-0.070692;0.004997
58;0.215054;0.080877;0.134177;0.018003
59;0.075269;0.121037;-0.045768;0.002095
60;0.043011;0.083807;-0.040796;0.001664
61;0.096774;0.116739;-0.019965;0.000399
62;0.075269;0.313009;-0.23774;0.05652
63;0.806452;0.493961;0.312491;0.09765
64;0.258065;0.280075;-0.02201;0.000484
65;0.591398;0.436703;0.154695;0.023931
66;0.107527;0.089218;0.018309;0.000335
67;0.11828;0.367611;-0.249331;0.062166
68;0.053763;-0.045622;0.099385;0.009877
69;0.236559;0.177252;0.059307;0.003517
70;0.075269;0.138471;-0.063202;0.003994
71;0.172043;0.146318;0.025725;0.000662
72;0.053763;0.042557;0.011206;0.000126
73;0.580645;0.629948;-0.049303;0.002431
74;0.021505;0.091393;-0.069888;0.004884
75;0.053763;0.088649;-0.034886;0.001217
76;0.150538;0.22699;-0.076452;0.005845
77;0.043011;0.186129;-0.143118;0.020483
78;0.107527;0.150163;-0.042636;0.001818
79;0.129032;0.126937;0.002095;4,00E-06
80;0.139785;0.086909;0.052876;0.002796
81;0.172043;0.112779;0.059264;0.003512
82;0.129032;0.134545;-0.005513;3,00E-05
83;0.215054;0.194364;0.02069;0.000428
84;0.064516;0.081976;-0.01746;0.000305
85;0.182796;0.13705;0.045746;0.002093
86;0.612903;0.445492;0.167411;0.028026
87;0.11828;0.051595;0.066685;0.004447
88;0.623656;0.564726;0.05893;0.003473
89;0.096774;0.096225;0.000549;0.0
90;0.010753;-0.065904;0.076657;0.005876
91;0.129032;0.025154;0.103878;0.010791
92;0.107527;0.07632;0.031207;0.000974
93;0.182796;0.277601;-0.094805;0.008988
94;0.354839;0.390726;-0.035887;0.001288
95;0.924731;0.688492;0.236239;0.055809
96;0.139785;0.19525;-0.055465;0.003076
97;0.365591;0.502135;-0.136544;0.018644
98;0.16129;0.020978;0.140312;0.019687
99;0.107527;0.328223;-0.220696;0.048707
100;0.172043;0.296473;-0.12443;0.015483
101;0.322581;0.33287;-0.010289;0.000106
102;0.075269;-0.005867;0.081136;0.006583
103;0.580645;0.522889;0.057756;0.003336
104;0.27957;0.502661;-0.223091;0.049769
105;0.096774;0.165749;-0.068975;0.004758
106;0.11828;0.278525;-0.160245;0.025678
107;0.311828;0.336493;-0.024665;0.000608
;;;;
;{'copy_X': True; 'fit_intercept': True; 'normalize': False};
